TestID,SystemOutput
46,"Lung function studies showed a mild ventilatory defect but there was no obstruction. Sleep quality was 92 percent. Stage one sleep was elevated at 28% of total sleep time, stage two at 69.9%, stage three and four at 3 percent of total sleep time. No significant sleep disordered breathing during non R E M sleep with less than one episode per hour. Intermittent inspiratory flow limitation compatible with snoring was observed during non R E M sleep."
47,The patient states that he has noticed lately that he cannot walk as much and as far as he used to before.
48,"Diabetes mellitus, hypertension."
49,She lives with her husband of 44 years. She has three children. She worked as a L and D nurse before retiring in early 2001. She is a nonsmoker and nondrinker.
50,"HTN, HDL, CHF, DM, OGT elevated to over 300. He has undergone plastic surgery on his face from an injury near his eye, and had an ear graft from when he developed an ear infection during his honeymoon."
51,The patient is speaking gibberish.
52,The patient is a 72-year-old male who was diagnosed with chronic lymphocytic leukemia in May 2008. He also had autoimmune hemolytic anemia at the time of his diagnosis. He has been taking 5 mg of prednisone every other day for his hemolysis. We will follow up on everything today and do a complete blood count. Prophylactic antivirals and antibacterials were discontinued at last visit.
53,"The patient is a 14-year-old male who presented to the office complaining of right shoulder pain, difficulty raising his right hand above his head, and sometimes at night he complains of numbness in his right hand fingers. The patient was skating on ice about 10 days ago when he slipped on the ice and landed straight on his right shoulder. Since then, he has been complaining of issues with his shoulder. He does not raise his right hand above his head and occasionally at night he complains of numbness in his right hand. His mother denies any other concerns. He is doing well in school, socializing, maintaining his weight and tolerates Adderall and Zoloft once a day."
54,The patient is a salesman. He smokes one and a half packs of cigarettes per day. He drinks alcohol several days a week.
55,"The patient is retired and lives at home. She has three children who are in gowns. Denies smoking, drinking, or drug use."
56,The patient is a 10-day-old girl who was born with abnormal hand and leg jerking. She had been diagnosed with infant jaundice at the time of her birth. She has had physiological jaundice.
57,This is the first time in his life that he has been told to see a doctor for his blood pressure. He noticed it around the time of his surgery.
58,Single father of two. Smokes 1/2 pack a day for the last 30 years. Drinks 4-8 beers a night. Works in electronic assembly for Harmony Music. He used to work at a similar type of place before he moved here.
59,None.
60,The patient is a nonsmoker. Drinks six beers per week. Denies any drug use.
61,"The patient is a 2-year-old girl who presents with some congestion, stuffiness and runny nose. Her mother uses Zyrtec over-the-counter allergy medicine. She has no other concerns except for her growth. Her growth curve for both height and weight is at 80 percentile. Her head percentile is still at 95. She is not potty trained yet. She knows some shapes but struggles with colors."
62,Migraine.
63,"The patient was found face down by his bed. He had fallen once or twice before, but he was not with him at the time."
64,Bronchitis.
65,The patient is able to do laundry and knit.
66,"The patient is a 3-year-old male who comes in today with his mother complaining that he vomits after eating raw carrots for 5 to 10 minutes. He denies any other food allergies but last week when he ate celery, the same thing happened. There are no other foods that cause vomiting or abdominal pain. No other major medical conditions noted except for asthma and reactive airway disease."
67,"The patient is a 39-year-old female with type I diabetes mellitus. She has been here for followup since her last visit almost four months ago. Her blood sugars have been under the normal range. However, her pump was having some problems for the last two weeks. She had to buy a new one and then being old kind of hit her. She did not work out so she does not exercise at this point. She denies any hypoglycemia or sweating. She denies any fainting. She does keep some snacks with her. She does not notice that she has missed her meal but she does not realize that she has eaten something else. She also denies any changes in vision or confusion in mind. She reports that her cholesterol is still high. Her LDL is 144."
68,Urinary tract infection.
69,The patient states that she has had some difficulty walking. She denies any history of problems with her legs in the past. She eats three meals a day and only eats about half of what is given to her. She denies any history of diarrhea or loose stool.
70,The patient was given a cardiac diet handout.
71,Noncontributory.
72,The patient states that he has been feeling tired and lightheaded when standing up. His family noticed that his skin and eyes were yellow. He had a fever about a week ago. There have been a few nights where he woke up all sweaty with chills. He has not been able to eat normally for the last three to four weeks. He has lost 26 pounds. He has experienced nausea but has not vomited. He has had some abdominal pain in the abdomen and low back area. His urine has been dark color for about a week now.
73,"The patient is a nonsmoker. He works in the finance department. He drinks alcohol on weekends, but not during the week. He denies any illicit drug use."
74,Ibuprofen.
75,Frustrated.
76,"Full term, 6 pounds 1 ounce. Hospitalized for 3 days due to neonatal jaundice."
77,Noncontributory.
78,"The patient is a 10-day-old Caucasian female who was feeding her when she suddenly started having this unusual jerking movement in both arms and legs lasting about a minute. She has had it six times since then. No breathing interruptions, bluish color around her mouth, or any color changes in the baby. They have been able to wake her up and stop the hand and leg movements. Otherwise, the patient is active. She feeds well and is active. She falls asleep a lot during breast feeding but otherwise everything is fine. Her pee diapers have increased to eight and she has 6 to 7 dirty yellowish colored."
79,Noncontributory.
80,Supplement with formula to help with weight gain. We have samples of Similac that we can give you before you head out.
81,Cervical spondylosis.
82,Abdominal pain.
83,"Married, 2 teen children. Rare use of tobacco, alcohol, or illicit drugs."
84,"The patient is a 79-year-old female who had an acute cholecystitis and underwent laparoscopic cholecystectomy, which was followed by an open procedure due to some difficult anatomy. She is doing better today. She is eating well, returning to her regular diet. She is not going to the bathroom regularly. She is on tetracycline and Reglan for this prolonged ileus."
85,The patient is unable to give any information about her pain.
86,Unknown.
87,Her father died of mesothelioma. She has a mother with some stomach problems.
88,The patient will be going home today. We reviewed the most recent test results from this morning and the progress in her mobility. She will be going to the pharmacy for the medications that we discussed.
89,"The patient is a 58-year-old female who presented to the office complaining of pain in her left knee. She had a fall two years prior to this presentation and then developed a blood clot in her left knee. She was treated in the hospital and then moved to a nursing home where she lived for a year. Prior to her fall, she did not have any problems at all. She used a pickup walker around the house. She was referred to physical therapy because of the arthritis in her knee. Since the fall, she has been spending most of her time laying down or sitting."
90,"Married, 3 children, runs day care out of her home. Denies smoking, alcohol use, and illicit drug use."
91,EKG is normal with sinus rhythm. Chest x-ray is normal.
92,"He is married. He has 13 children. His father had a stroke and was left with tremors after his stroke. He denies any history of alcohol use, drug use, depression or suicide."
93,"She is married. She has two children and lives with her husband. She does not smoke, drink or use illicit drugs. She works in a business office. She denies any sexually transmitted diseases. She denies exposures to asbestos, chemicals, or industrial gases at work or elsewhere."
94,"The patient is a 70-year-old female who was diagnosed with diabetes in the fall of 2012. She has been taking Accu Cheks once a day. Her blood sugars range from the 80s to as high as 132. She walks one to two miles daily. Sometimes she goes to the mall. She denies any changes in her bowel movements. She had her last mammogram at Baylis Building last month. She denies any pain in her tummy, nausea, vomiting, diarrhea or constipation. She does check her feet regularly for swelling. She wakes up at night at least one time to go to the bathroom."
95,The patient was discharged home from the hospital three days ago.
96,"The patient is a 188-pound female who comes in today for allergy evaluation and treatment. She states that she has allergies, but is not completely sure what foods she is allergic to."
97,No tenderness or pain in the back.
98,"The patient is a 28-year-old right-sided male who presented to the office complaining of some difficulty with his breathing while eating. He has been having trouble breathing while eating, but does not feel like he is choking on his food and gasps for air."
99,The patient is wheelchair bound. She has a nurse who comes in three times a week to check her vitals. They try to adjust her once every hour or so.
100,"The patient's skin was normal, pink, warm, and dry to the touch. Her subcutaneous tissue was also in normal condition."
101,"The patient is a 56-year-old female who presented to the office complaining of degenerative arthritis in her hips. She had a right hip replacement with Dr. X in 2000. Over the last three years or so, she has had worsening pain on her left hip. She is taking narcotics for this. Risks and benefits of surgery are discussed. Risks of surgery include scar, dislocation, need for further surgery, deep vein thrombosis, and implant failure."
102,"Significant for appendectomy, small intestine obstruction and vasectomy."
103,"The patient's father died of an MI at the age of 67. He had COPD and smoked a lot. His mother is 88 and recovering from lung cancer. Two years ago, she had a piece of her lung removed. He has two brothers younger than him and a sister who died of pneumonia at the age of 20 months."
104,None.
105,The patient rates his knee pain at rest as a 5/10.
106,His father died of colon cancer at age 48. He also had bile duct cancer at age 32. Another uncle had colon cancer in his 40s. He also has a cousin with unknown name who told him about a genetic syndrome that runs in the family.
107,"The patient is a 59-year-old female with a history of breast cancer. She was diagnosed in June 1994. She has been treated with Zometa, Faslodex, and Aromasin. Her cancer has progressed since that time. She was randomized into the ixabepilone plus Avastin group. She had dose limiting toxicity with the fourth cycle. She skipped Ixempra on the first and eighth days. She has tolerated the treatment fairly well. She has had some neuropathy."
108,"Lymph nodes in the neck, armpit and groin."
109,None.
110,None.
111,No known allergies.
112,"The patient is a 62-year-old white female who presents to the clinic with a history of hypertension and lipometabolism disorder. She has a history of diabetes in her father and brother, as well as chronic left knee pain for a long time. She had an X-ray done in 1999 which shows that there is a narrowing of the joint. She also has a history of intermittent rectal bleeding, which is always bright red and drips into the toilet. Her last colonoscopy was done in 1999. She has been eating fast food and soda but it does not seem to work. She has some stomach pain and she has been trying to lay off the fast food and soda. She has been taking Claritin without any improvement. She has been feeling better today. She states that she thinks that it was just because she did not take Claritin."
113,Father died of a brain tumor. Mother is obese.
114,The patient was discharged home with a taxi voucher.
115,Platelet counts are normal. ITP is a disorder of low platelet count.
116,None.
117,"The patient is a 7-year-old white male who presents to the emergency room complaining of pain in his fingers, elbows, and neck. The patient states that for about two months he has had this pain. The patient states that it is much better now but at one point he was crying because of the pain. The patient denies any other major medical problems. He does have some allergies. His mother reports that she has seen some swelling on the painful area. No diarrhea, fevers, weight loss, or mouth ulcers. There are no other major medical issues reported."
118,Nonsmoker.
119,She is a widow and lives alone.
120,The patient has been taking the Lantus at night and the sliding-scale Humalog before meals. Her blood sugars are in the 70s in the morning. She has had her Lantus decreased from 84 to 60 units. She does have an appetite and is eating as well as ever.
121,"The patient is a nonsmoker, nondrinker, nonsmoker. Denies any drug use. She moved to America in 1973 and worked as a nurse in a newborn ward. Her last visit was to Las Vegas in May 2000. She has not been around sick contacts recently."
122,Cleft palate.
123,None.
124,"The patient is a 77-year-old African-American female who presents for evaluation and management of her current medical problems. She has atrial fibrillation, diabetes mellitus, hypothyroidism, possible stroke, multiple joint disease including gout, arthritis, and both rheumatoid and DJD. The patient states that she feels dizziness for one month. The patient denies any recent fevers, chills, earache, diplopia, dysarthria, dysphagia, change in vision, or new headaches."
125,"The patient is a 57-year-old female who was evaluated today for band placement surgery for weight loss. She had cholelithiasis and they wanted to do that before any weight loss surgeries because of the risk of infection due to diabetes and it might infect the band. Surgery was supposed to be done on 12/31/2009, but she was told that her blood sugars were high at 4/38. She was admitted to the hospital for treatment of her hyperglycemia. She also has sleep apnea."
126,"Hernia repair, retinal tear corrected surgically, arthroscopy bilateral knees."
127,His father underwent a heart surgery bypass at the age of 34.
128,Noncontributory.
129,The patient is a 63-year-old left-handed male who presented to the office complaining of pain in his neck and low back. He has had this pain for 15 years. It has been getting worse over the last year and a half. He denies any tingling or numbness in his feet. He states that he has lost control of his hands recently and does not feel like he can do things like he used to. He also denies any cognitive difficulties. He was evaluated by Dr. X two years ago. He did have neuropathy because of diabetes. He denied any dementia. He said that he had no problems with his memory. He denies any need for surgery at this time.
130,"Sulfa, Darvon, codeine, NASD, amox and quinine."
131,She is a healthy full term baby with no complications. No hospitalizations or surgeries in the past. She lives with her mom.
132,"NOSE: Right-sided, bilaterally or bilaterally. Abdominal and back pain."
133,"Diet: Avoid foods and drinks with high sugar content and no extra salt. Start with clear thin fluids, like broth or clear soups."
134,She lives with her mother. She is married and has two healthy sons. She works as a truck driver.
135,"The patient is a 39-year-old African-American female who underwent septal deviation repair, which ended up with a large septal perforation. She has been using saline nasal wash two to three times per day. No other complaints."
136,"The patient is a 50-year-old white male with chronic lower back pain for about two years. He was involved in an accident two and a half days prior to this presentation, throwing his back out while unloading his buddy's motorcycle. He has had several episodes of chronic back pain over the last couple of days. He has had Ultram, Celebrex, gabapentin, and amitriptyline. His PCP does not give opiates for chronic back pain. He came to the emergency room and saw Dr. X who recommended that he follow up at a pain clinic to talk about more treatment options like medicine."
137,"Alzheimer's, dementia, osteoarthritis, anxiety, hypertension."
138,"None. No abdominal pain, no dysuria, no hematuria, and no changes in frequency or blood in the urine."
139,Asthma and hay fever.
140,"The patient is a 41-year-old male who was playing basketball in Angola last Wednesday, MM/YYYY when he felt a pop in the back of his leg. He was seen by another doctor around here for this. He said that he had ruptured his Achilles tendon. He has been on crutches and has been keeping his weight off it since. He does not have any pain before the injury. He takes an aspirin a day because he travels so much."
141,Noncontributory.
142,The patient lives with his wife. He has a one-story house with one step down on the porch. Some of his daily activities are assisted by his wife. He has speech and swallowing problems as well.
143,The patient is still having some pain in the back of the knee.
144,Weight loss.
145,"The patient is a 69-year-old African American male with stage 4 CKD secondary to PKD. He has had a high creatinine level over the last six months, so we've been following him closely. He has not been attending end stage kidney disease classes. He has not been attending transplant orientation classes. He has not been attending dialysis education classes. We need to follow up his PsA today, it's been about two years since the last time."
146,Ritalin 50 mg q.d.
147,Significant for a partial tear of the rotator cuff.
148,Noncontributory.
149,"The patient has a history of gastroenteritis, but no vomiting. He has nausea, diarrhea, and green stools. He also has palpitations that could be related to anxiety."
150,Back pain.
151,"Hyperlipidemia, hyperthyroidism, history of migraine headaches, changes in vision, and dizziness. Heartburn after eating junk food."
152,"Significant for hypertension, hyperlipidemia, and non insulin dependent diabetes. He had a heart bypass surgery in July 2006 with no preoperative angina, shortness of break, or heart attack. He also had lower back surgery in 2000 and left knee surgery about 25 years ago. He has depression for a long time."
153,None.
154,None.
155,None.
156,Urology.
157,"Pravastatin for cholesterol, Paxil and Buspar for anxiety."
158,"The patient is a 77-year-old right-handed female who presented to UIHC with memory loss. She states that two weeks prior to the evaluation, she agreed to pick her up for church at quarter past eight on Sunday morning. Later, she came to pick her up on Sunday when she was not there. Later, she called me and asked if I had overslept. When they evaluated her in the hospital, she was unaware of this incident."
159,Mouth sore since last week. Eyes have been having some trouble. No more diarrhea or abdominal pain. No nausea or vomiting. Eating habits are back to normal. No improvement in the back. No cough.
160,Cholecystectomy at age 9; splenectomy.
161,Married. Smokes 1 to 2ppd cigarettes.
162,"The patient is a 45-year-old African-American female who presented to the office complaining of pain in her left shoulder and neck for the last year and a half. She had a nerve conduction study performed which confirmed that she has radiculopathy. In March of this year, she was unable to feel her right foot on the bathroom floor. She then developed pain in her left foot. She began working out hard in November 2005. She also had a MRI of her lower back. She states that it appears normal. She denies any weakness or instability in her legs. She denies any discomfort with lying in bed. She has seen another surgeon who wanted to do a decompression procedure."
163,Augmentin for UTI.
164,"Significant for cancer of the stomach, diagnosed more than 25 years ago. She has undergone about 10 operations, the last one was more than 10 years ago. She has been stable since her last operation. She had a neurological consult in March 2006, and the doctor suspects that she might have dementia possibly Alzheimer. She has been involved in three car accidents in the last 5 years, nothing major but was hit from behind while in a stopped position."
165,The patient has had no recent fevers. No chest pain or nausea. No vomiting. He is positive for diabetes and will have more frequent checkups because of that. He is still seeing his endocrinologist for Graves disease.
166,X-rays showed no foreign body or pneumonia.
167,Complete blood panel.
168,LYMPH: None.
169,Noncontributory.
170,"She has a long history of marriage counseling. No history of anxiety, depression or mood swings."
171,"Diabetes, hypertension, stroke, and heart disease."
172,Noncontributory.
173,C-section and miscarriage.
174,He is married. He retired as an engineer.
175,Sciatica and melanoma.
176,"Migraine headaches without aura, left ear sensorineural deafness, basil cell carcinoma resection of the nose within the last couple of years. She also suffers from essential tremors, endometriosis, and cervical dystonia."
177,Work full time.
178,"The patient is a 36-year-old Caucasian female who presents for evaluation and treatment of chronic right knee pain. She has been diagnosed with chondromalacia. She has undergone conservative treatment including anti-inflammatories, rest, changes in activities of daily living, but has had no improvement. She was considered a candidate for arthroscopy lateral release and tubercle transfer. Risks and benefits of surgery were discussed with the patient. All risks and benefits were discussed with the patient. The patient agreed to the above plan."
179,"The patient is a 18-year-old male who was placed in an institution for depression, anxiety, and mood disorders."
180,Fever of unknown origin.
181,Coughing blood.
182,"The patient states that he is not feeling well. He started with a painful burning sensation when he peed, then he started having a pain in his left side and now his throat hurts."
183,Pneumonia and asthmatic attacks.
184,"Miss X is out partying. She denies smoking, alcohol use, or drug use."
185,"The patient is a 62-year-old white female who was first diagnosed with tremors in fifth grade. She was placed on propranolol for tremors in her early twenties. She is now taking primidone and clonazepam. She has noticed that the clonazepam has been helping her anxiety and stress, which has improved her tremors. However, she continues to have difficulty writing due to her tremors. For about six to seven years, she has developed a head tremor. She has had some difficulty with other daily activities such as drinking or washing the dishes. She also recently developed migraine headaches without aura. She experiences stress incontinence occasionally."
186,"The patient states that his anxiety has calmed down a bit. He has gotten back into painting again, which he really enjoys. At home, the patient states that he has had a lot of trouble with his son recently. He spends a lot more time playing video games than he does on school. His father and I are planning to have another talk with him this weekend. No family history of anxiety."
187,"This is his fifth surgery. He had a knee surgery, hernia repair in his right groin, and an appendectomy removed."
188,None.
189,Noncontributory.
190,Medication list in medical record.
191,Noncontributory.
192,Tolerates medications well.
193,Hypertension and type II diabetes.
194,Mister Henley has been discharged to a long-term acute care facility under the supervision of Dr. Z.
195,Dialysis.
196,"Fever, changes in weight, no weakness, no fatigue."
197,"She has a history of alcohol abuse and has been in and out of Alcohol Anonymous for a number of years. Case managers have offered her resources, but she is unable to break her drinking habit."
198,Gastric bypass surgery (date unknown) performed in 2005 or 2007 (date unknown).
199,Her father has hypertension. Her mother died in a motor vehicle accident. She had no known health problems.
